N,Page,ID,Name,Author,Description,Tags,Sensors
1,1,624218,af104-uwz,griesu62,Ultraschall-Wasser-Zähler,['af104-uwz'],Unknown
2,1,1785844,Wind Power Smart Mon...,mwa0000022903516,This channel is used to monitor the wind speed and carry out analysis on the effect of all these parameters on wind turbine power generation,"['wind power', 'wind speed']",power
3,1,838448,DTT,chrisyuk,DTT stream bitrate analysis,"['dvb-t', 'freeview', 'dvb', 'dtt']",Unknown
4,1,2725739,WasserstandAmUfer,mwa0000035819954,Wasserstand im Gully unter der Tiefgarage in Hafen 4 / Ufer 8,"['dresden', 'uferstraße', 'hafenstraße', 'gulli', 'tiefgarage', 'wasserstand', 'elbe', 'pegel', 'regen', 'elbpegel']",Unknown
5,1,2862014,Power Grid Smart Mon...,mwa0000023143801,This channel is used to monitor the grid frequency and voltage and carry out analysis on the effect of the parameter in power quality. Source Data Channel ID: 2334377,"['monitoring', 'power', 'voltage']","voltage, power"
6,1,2057381,Wind and Solar Power...,mwa0000019059637,"Channel is used to monitor wind and solar power, and is also capable of using wind speed to calculate wind power and voltage to calculate the power output of both the wind and solar sources.","['wind power', 'solar power', 'wind speed']","voltage, power"
7,1,357142,Air quality with SDS011,tthosta,"Location: Germany (BW); 
Measurement of air quality with SDS011 sensor and raspberry pi.","['air quality', 'sds011', 'pm2.5', 'pm10', 'raspberry pi', 'bme280', 'temperature', 'pressure', 'humidity']","temperature, temp, humidity, bme280, pressure, air quality"
8,1,14578,IMP Temp Sensor - 15...,swharper,Electric IMP LM34 temp sensor,['lm34 temp sensor'],temp
9,1,3180919,Habitat no. 1,mwa0000039736912,"Projekt edukacyjny Fundacji ORLEN im. Ignacego Łukasiewicza ""Inżynierowie Przyszłości"" Temat projektu: Kosmiczny habitat – badania naturalnych metod redukcji CO₂ w budynkach użytkowych. Autor: Weronika Pawłowska; Mentor: Paweł Derwich; ZSMEiE Toruń",['#inzynierowieprzyszlosci'],Unknown
10,1,3265977,C_CyberPhysics_Weather,mwa0000040475731,weather station for vt lab,"['temp', 'humidity']","temp, humidity"
11,1,3265972,C_Cyberphysics_Weather,mwa0000040475766,weather station for VT lab,"['temp', 'humidity']","temp, humidity"
12,1,3265966,C_cyberphysics_Weather,mwa0000021469669,weather station for vt lab,"['temp', 'humity']",temp
13,1,3264079,Wasterminate Dashboard,mwa0000040461720,The monitoring platform for the Arduino-based and IoT-intergated smart waste bin. Data analytics available here.,['ncshs'],Unknown
14,1,1350261,CO2 Measurement,tthosta,"Location: Germany (BW); 
Measurement of air quality with  ccs811 sensor and raspberry pi.","['raspberry pi', 'bme280', 'temperature', 'pressure', 'humidity', 'ds18b20', 'ccs811', 'mh-z19']","temperature, temp, humidity, bme280, pressure, air quality"
15,1,3264568,JENSKI'S RAS CONTROLLER,mwa0000040465240,PH Sensor data,['kidlat'],Unknown
16,2,3232826,Weather,CodeCarter,Testing phase of Project Zeus will over see all environmental metrics.,"['weather', 'environment', 'data']",Unknown
17,2,3264030,Estación - Esquipula...,mwa0000040103626,"Estación al servicio  de la comuidad de Esquipulas, donada y diseñada por el ingeniero Marlon A. Kuckling","['esquipulas', 'clima', 'kuckling']",Unknown
18,2,3225843,Estación Gualán - Ku...,mwa0000040103626,"This project is a solar-powered weather station developed to monitor the extreme microclimates of Gualán, Zacapa. It provides real-time local data for agricultural and community safety, monitoring heat index trends and variable weather patterns in Guatema","['gualan', 'zacapa', 'weather station', 'esp32', 'iot']",power
19,2,3263883,SeniorGuard_Wearable...,Halberch,"Sistema autónomo de teleasistencia mediante dispositivo wearable para la tercera edad.
Este canal recibe datos en tiempo real de constantes vitales (frecuencia cardíaca, SpO2, presión arterial) y monitorización de movimiento (acelerometría).","['salud', 'geriatria', 'caidas', 'wearable', 'emergencia', 'teleasistencia', 'iot']",Unknown
20,2,3262135,SeniorGuard_Wearable...,Halberch,"Sistema autónomo de teleasistencia mediante dispositivo wearable para la tercera edad.
Este canal recibe datos en tiempo real de constantes vitales (frecuencia cardíaca, SpO2, presión arterial) y monitorización de movimiento (acelerometría).","['salud', 'geriatria', 'caidas', 'wearable', 'emergencia', 'teleasistencia', 'iot']",Unknown
21,2,1622086,Wetter Hennesee,dl8dbn,Temperatursensor LoraWAN Hennesee,"['hennesee', 'amateurfunk sauerland', 'friedensglocken']",temp
22,2,2723786,æ_datalog_01,acusticæscolar,"datalogger with ESP32
Senseair S8 / BME680 / BH170/PMS7003/ I2C Decibel Sound Level Meter Module","['datalogger', 'acusticaescolar', 'confort360']",sound
23,2,271958,Wetterstation Meschede,dl8dbn,Wetterstation mit ESP 8266,"['wetterstation', 'meschede', 'sauerland']",Unknown
24,2,2927027,EstacioPobleEstany,mwa0000037598790,Estació meteorològica pública a l'Estany,['weather station estany'],Unknown
25,2,2462841,Solar System Monitoring,mwa0000029769359,This channel aims to monitor the performance of a mini solar panel system and its capability in power and energy generation to meet load demands.,"['monitoring', 'solar power', 'power generation', 'energy', 'solar', 'load']","power, energy"
26,2,701593,Des Gartenimkers Sto...,jokuder,Beelogger #1,['beelogger'],Unknown
27,2,1220825,Lampotila,mwa0000020240855,Seurattavat lampotilat,"['m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'm8']",Unknown
28,2,694112,MP_SMOG_Nettigo,misiopie,Nettigo Luftdaten-like SMOG sensor,"['luftdaten', 'nettigo']",Unknown
29,2,938453,Lämpötilat Alakerta,mwa0000017101863,Lämpötilat Röykkä,['temperature'],"temperature, temp"
30,2,424836,Wondecla Power,thingspeak1953,"Off Grid Solar & Wind system.
15 min average readings plotted here.
5 min readings available at PVOutput.","['wondecla', 'solar', 'wind', 'off grid']",Unknown
31,3,678821,Hive Monitor,awround,Bee hive monitor,"['beehive', 'hive', 'monitor']",Unknown
32,3,1677046,Temperature Sensor,smarthsalaria,LABMST DIOT LAB 4538,"['matlab', 'api']",Unknown
33,3,3147069,Dew Point Measurement,khWon25,"온도와 습도를다른 채널에서 읽어와 이슬점을 계산, 기록","['korea', 'inu', 'dew point']",Unknown
34,3,2601398,IOT PLANT MONITORING...,mwa0000033944826,an iot plant monitoring device,"['iot', 'plant', 'sensor', 'monitoring']",Unknown
35,3,8203,Simba wa Yuda water ...,TonyZurolo,Water Level Sensor at Simba wa Yuda academy in Tanzania,['mobiledata'],water
36,3,1807857,Paul's Test,mwa0000026824699,Training setup,['weather'],rain
37,3,582000,Chiara's Tulipano,charli0d,Those are the marvelous Chiara's Tulips!!,"['dew', 'sensor', 'humidity', 'temperature']","temperature, temp, humidity"
